SCHOOL_NAME,COUNTY_CODE,DISTRICT_CODE,SCHOOL_CODE,COUNTY_NAME,DISTRICT_NAME,Math,Reading and Writing,TOTAL_AVG,Math_State_avg,Reading_State_avg,TOTAL_STATE_AVG
ABRAHAM CLARK HIGH SCHOOL,39,4540,10,UNION,ROSELLE BORO,422.0,444.0,866.0,543,542,1085
ABSEGAMI HIGH SCHOOL,1,1790,40,ATLANTIC,GREATER EGG HARBOR REG,524.0,523.0,1047.0,543,542,1085
ACADEMY CHARTER HIGH SCHOOL,80,6010,910,CHARTERS,ACADEMY CHARTER HIGH SCHOOL,383.0,390.0,773.0,543,542,1085
ACADEMY FOR ALLIED HEALTH SCIENCES,39,5260,20,UNION,UNION COUNTY VOCATIONAL,685.0,675.0,1360.0,543,542,1085
ACADEMY FOR BIOTECHNOLOGY,27,3365,301,MORRIS,MORRIS COUNTY VOCATIONAL,,,0.0,543,542,1085
ACADEMY FOR ENVIRONMENTAL SCIENCE,27,3365,300,MORRIS,MORRIS COUNTY VOCATIONAL,,,0.0,543,542,1085
ACADEMY FOR INFORMATION TECHNOLOGY,39,5260,30,UNION,UNION COUNTY VOCATIONAL,685.0,665.0,1350.0,543,542,1085
ACADEMY FOR LAW AND PUBLIC SAFETY,27,3365,10,MORRIS,MORRIS COUNTY VOCATIONAL,584.0,586.0,1170.0,543,542,1085
"ACADEMY FOR MATHEMATICS, SCIENCE AND ENGINEERING",27,3365,20,MORRIS,MORRIS COUNTY VOCATIONAL,,,0.0,543,542,1085
ACADEMY FOR PERFORMING ARTS,39,5260,35,UNION,UNION COUNTY VOCATIONAL,582.0,605.0,1187.0,543,542,1085
ACADEMY FOR URBAN LEADERSHIP CHARTER SCHOOL,80,6032,901,CHARTERS,ACADEMY FOR URBAN LEADERSHIP CHARTER SCHOOL,477.0,494.0,971.0,543,542,1085
ACADEMY OF ALLIED HEALTH AND SCIENCE,25,3260,25,MONMOUTH,MONMOUTH CO VOCATIONAL,714.0,691.0,1405.0,543,542,1085
ACADEMY OF TECHNOLOGY DESIGN,17,2295,304,HUDSON,HUDSON COUNTY VOCATIONAL,,,0.0,543,542,1085
ADMIRAL WILLIAM F. HALSEY JR. HEALTH & PUBLIC SAFETY ACADEMY,39,1320,402,UNION,ELIZABETH CITY,409.0,418.0,827.0,543,542,1085
ALEXANDER HAMILTON PREPARATORY ACADEMY,39,1320,405,UNION,ELIZABETH CITY,502.0,474.0,976.0,543,542,1085
ALLENTOWN HIGH SCHOOL,25,5310,50,MONMOUTH,UPPER FREEHOLD REGIONAL,581.0,568.0,1149.0,543,542,1085
ALTERNATIVE HIGH SCHOOL,7,800,60,CAMDEN,CHERRY HILL TWP,,,0.0,543,542,1085
ALTERNATIVE SCHOOL AT LEVITT,5,5805,300,BURLINGTON,WILLINGBORO TWP,,,0.0,543,542,1085
AMERICAN HISTORY HIGH SCHOOL,13,3570,87,ESSEX,NEWARK CITY,411.0,438.0,849.0,543,542,1085
APPLIED TECHNOLOGY HIGH SCHOOL,3,290,300,BERGEN,BERGEN COUNTY VOCATIONAL,,,0.0,543,542,1085
ARTHUR L. JOHNSON HIGH SCHOOL,39,850,5,UNION,CLARK TWP,559.0,555.0,1114.0,543,542,1085
ARTHUR P. SCHALICK HIGH SCHOOL,33,4150,40,SALEM,PITTSGROVE TWP,537.0,552.0,1089.0,543,542,1085
ARTS HIGH SCHOOL,13,3570,10,ESSEX,NEWARK CITY,452.0,466.0,918.0,543,542,1085
ASBURY PARK HIGH SCHOOL,25,100,10,MONMOUTH,ASBURY PARK CITY,423.0,429.0,852.0,543,542,1085
ATLANTIC CITY HIGH SCHOOL,1,110,10,ATLANTIC,ATLANTIC CITY,509.0,512.0,1021.0,543,542,1085
ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,1,120,10,ATLANTIC,ATLANTIC CO VOCATIONAL,505.0,515.0,1020.0,543,542,1085
AUDUBON JUNIOR/SENIOR HIGH SCHOOL,7,150,10,CAMDEN,AUDUBON BORO,537.0,545.0,1082.0,543,542,1085
BARACK OBAMA ACADEMY FOR ACADEMIC & CIVIC DEVELOPMENT,39,4160,51,UNION,PLAINFIELD CITY,,,0.0,543,542,1085
BARD EARLY COLLEGE HIGH SCHOOL,13,3570,304,ESSEX,NEWARK CITY,477.0,502.0,979.0,543,542,1085
BARNEGAT HIGH SCHOOL,29,185,30,OCEAN,BARNEGAT TWP,533.0,534.0,1067.0,543,542,1085
BARRINGER ACADEMY OF S.T.E.A.M.,13,3570,312,ESSEX,NEWARK CITY,373.0,391.0,764.0,543,542,1085
BARRINGER ARTS HIGH SCHOOL,13,3570,20,ESSEX,NEWARK CITY,382.0,406.0,788.0,543,542,1085
BAYONNE ALTERNATIVE HIGH SCHOOL,17,220,10,HUDSON,BAYONNE CITY,,,0.0,543,542,1085
BAYONNE HIGH SCHOOL,17,220,20,HUDSON,BAYONNE CITY,509.0,510.0,1019.0,543,542,1085
BELLEVILLE HIGH SCHOOL,13,250,20,ESSEX,BELLEVILLE TOWN,496.0,504.0,1000.0,543,542,1085
BELVIDERE HIGH SCHOOL,41,280,20,WARREN,BELVIDERE TOWN,546.0,534.0,1080.0,543,542,1085
BERGEN ARTS AND SCIENCES CHARTER SCHOOL,80,6013,900,CHARTERS,BERGEN ARTS AND SCIENCES CHARTER SCHOOL,535.0,537.0,1072.0,543,542,1085
BERGEN COUNTY ACADEMIES,3,290,20,BERGEN,BERGEN COUNTY VOCATIONAL,728.0,692.0,1420.0,543,542,1085
BERGEN COUNTY TECHNICAL HIGH SCHOOL - TETERBORO,3,290,70,BERGEN,BERGEN COUNTY VOCATIONAL,699.0,662.0,1361.0,543,542,1085
BERGENFIELD HIGH SCHOOL,3,300,20,BERGEN,BERGENFIELD BORO,523.0,524.0,1047.0,543,542,1085
BERNARDS HIGH SCHOOL,35,4815,20,SOMERSET,SOMERSET HILLS REGIONAL,620.0,605.0,1225.0,543,542,1085
BIOTECHNOLOGY HIGH SCHOOL,25,3260,28,MONMOUTH,MONMOUTH CO VOCATIONAL,746.0,721.0,1467.0,543,542,1085
BLOOMFIELD HIGH SCHOOL,13,410,20,ESSEX,BLOOMFIELD TWP,487.0,495.0,982.0,543,542,1085
BLOOMFIELD TECH,13,1390,20,ESSEX,ESSEX CO VOC-TECH,487.0,499.0,986.0,543,542,1085
BOGOTA JR./SR. HIGH SCHOOL,3,440,20,BERGEN,BOGOTA BORO,485.0,495.0,980.0,543,542,1085
BOONTON HIGH SCHOOL,27,450,20,MORRIS,BOONTON TOWN,547.0,554.0,1101.0,543,542,1085
BORDENTOWN REGIONAL HIGH SCHOOL,5,475,50,BURLINGTON,BORDENTOWN REGIONAL,537.0,549.0,1086.0,543,542,1085
BOUND BROOK HIGH SCHOOL,35,490,20,SOMERSET,BOUND BROOK BORO,488.0,493.0,981.0,543,542,1085
BRICK TOWNSHIP HIGH SCHOOL,29,530,20,OCEAN,BRICK TWP,532.0,544.0,1076.0,543,542,1085
BRICK TOWNSHIP MEMORIAL HIGH SCHOOL,29,530,25,OCEAN,BRICK TWP,532.0,542.0,1074.0,543,542,1085
BRIDGETON HIGH SCHOOL,11,540,20,CUMBERLAND,BRIDGETON CITY,468.0,459.0,927.0,543,542,1085
BRIDGEWATER-RARITAN HIGH SCHOOL,35,555,5,SOMERSET,BRIDGEWATER-RARITAN REG,630.0,607.0,1237.0,543,542,1085
BUENA REGIONAL HIGH SCHOOL,1,590,25,ATLANTIC,BUENA REGIONAL,527.0,527.0,1054.0,543,542,1085
BURLINGTON CITY HIGH SCHOOL,5,600,20,BURLINGTON,BURLINGTON CITY,498.0,502.0,1000.0,543,542,1085
BURLINGTON COUNTY INSTITUTE OF TECHNOLOGY - MEDFORD,5,610,40,BURLINGTON,BURLINGTON CO VOCATIONAL,488.0,511.0,999.0,543,542,1085
BURLINGTON COUNTY INSTITUTE OF TECHNOLOGY - WESTAMPTON,5,610,30,BURLINGTON,BURLINGTON CO VOCATIONAL,491.0,506.0,997.0,543,542,1085
BURLINGTON TOWNSHIP HIGH SCHOOL,5,620,10,BURLINGTON,BURLINGTON TWP,535.0,546.0,1081.0,543,542,1085
BUTLER HIGH SCHOOL,27,630,20,MORRIS,BUTLER BORO,550.0,562.0,1112.0,543,542,1085
CAMDEN BIG PICTURE LEARNING ACADEMY,7,680,305,CAMDEN,CAMDEN CITY,399.0,416.0,815.0,543,542,1085
CAMDEN COUNTY TECHNICAL SCHOOL-GTC,7,700,40,CAMDEN,CAMDEN COUNTY VOCATIONAL,478.0,495.0,973.0,543,542,1085
CAMDEN COUNTY TECHNICAL SCHOOL-PENNSAUKEN,7,700,30,CAMDEN,CAMDEN COUNTY VOCATIONAL,469.0,468.0,937.0,543,542,1085
CAMDEN HIGH SCHOOL,7,680,30,CAMDEN,CAMDEN CITY,389.0,395.0,784.0,543,542,1085
CAMDEN'S PROMISE CHARTER SCHOOL,80,6107,998,CHARTERS,CAMDENâ€™S PROMISE CHARTER SCHOOL,455.0,444.0,899.0,543,542,1085
CAPE MAY COUNTY TECHNICAL HIGH SCHOOL,9,720,30,CAPE MAY,CAPE MAY CO VOCATIONAL,536.0,541.0,1077.0,543,542,1085
CAREER AND INNOVATION ACADEMY OF ORANGE,13,3880,301,ESSEX,CITY OF ORANGE TWP,,,0.0,543,542,1085
CARTERET HIGH SCHOOL,23,750,30,MIDDLESEX,CARTERET BORO,499.0,497.0,996.0,543,542,1085
CEDAR CREEK HIGH SCHOOL,1,1790,60,ATLANTIC,GREATER EGG HARBOR REG,557.0,557.0,1114.0,543,542,1085
CEDAR GROVE HIGH SCHOOL,13,760,50,ESSEX,CEDAR GROVE TWP,562.0,571.0,1133.0,543,542,1085
CENTRAL HIGH SCHOOL,13,3570,30,ESSEX,NEWARK CITY,389.0,399.0,788.0,543,542,1085
CENTRAL JERSEY COLLEGE PREP CHARTER SCHOOL,80,6018,900,CHARTERS,CENTRAL JERSEY COLLEGE PREP CHARTER SCHOOL,564.0,546.0,1110.0,543,542,1085
CENTRAL REGIONAL HIGH SCHOOL,29,770,30,OCEAN,CENTRAL REGIONAL,532.0,518.0,1050.0,543,542,1085
CHARTERTECH HIGH SCHOOL FOR THE PERFORMING ARTS,80,7410,940,CHARTERS,CHARTER~TECH HIGH SCHOOL,457.0,483.0,940.0,543,542,1085
CHATHAM HIGH SCHOOL,27,785,10,MORRIS,SCH DIST OF THE CHATHAMS,627.0,629.0,1256.0,543,542,1085
CHEROKEE HIGH SCHOOL,5,2610,40,BURLINGTON,LENAPE REGIONAL,571.0,566.0,1137.0,543,542,1085
CHERRY HILL HIGH SCHOOL EAST,7,800,30,CAMDEN,CHERRY HILL TWP,599.0,592.0,1191.0,543,542,1085
CHERRY HILL HIGH SCHOOL WEST,7,800,40,CAMDEN,CHERRY HILL TWP,539.0,546.0,1085.0,543,542,1085
CICELY L. TYSON COMMUNITY MIDDLE/HIGH SCHOOL,13,1210,150,ESSEX,EAST ORANGE,458.0,479.0,937.0,543,542,1085
CINNAMINSON HIGH SCHOOL,5,840,30,BURLINGTON,CINNAMINSON TWP,570.0,575.0,1145.0,543,542,1085
CLASS ACADEMY,25,3260,3,MONMOUTH,MONMOUTH CO VOCATIONAL,,,0.0,543,542,1085
CLAYTON HIGH SCHOOL,15,860,30,GLOUCESTER,CLAYTON BORO,506.0,515.0,1021.0,543,542,1085
CLEARVIEW REGIONAL HIGH SCHOOL,15,870,20,GLOUCESTER,CLEARVIEW REGIONAL,581.0,570.0,1151.0,543,542,1085
CLIFFSIDE PARK HIGH SCHOOL,3,890,30,BERGEN,CLIFFSIDE PARK BORO,513.0,515.0,1028.0,543,542,1085
CLIFTON HIGH SCHOOL,31,900,30,PASSAIC,CLIFTON CITY,513.0,514.0,1027.0,543,542,1085
COLLINGSWOOD HIGH SCHOOL,7,940,30,CAMDEN,COLLINGSWOOD BORO,512.0,520.0,1032.0,543,542,1085
COLONIA HIGH SCHOOL,23,5850,20,MIDDLESEX,WOODBRIDGE TWP,517.0,524.0,1041.0,543,542,1085
COLTS NECK HIGH SCHOOL,25,1650,10,MONMOUTH,FREEHOLD REGIONAL,584.0,579.0,1163.0,543,542,1085
COLUMBIA HIGH SCHOOL,13,4900,30,ESSEX,SOUTH ORANGE-MAPLEWOOD,584.0,589.0,1173.0,543,542,1085
COMMUNICATIONS HIGH SCHOOL,25,3260,4,MONMOUTH,MONMOUTH CO VOCATIONAL,668.0,679.0,1347.0,543,542,1085
COUNTY PREP HIGH SCHOOL,17,2295,30,HUDSON,HUDSON COUNTY VOCATIONAL,523.0,522.0,1045.0,543,542,1085
CRANFORD HIGH SCHOOL,39,980,30,UNION,CRANFORD TWP,586.0,588.0,1174.0,543,542,1085
CREATIVE ARTS MORGAN VILLAGE ACADEMY,7,680,245,CAMDEN,CAMDEN CITY,406.0,431.0,837.0,543,542,1085
CRESSKILL HIGH SCHOOL,3,990,40,BERGEN,CRESSKILL BORO,607.0,597.0,1204.0,543,542,1085
CUMBERLAND REGIONAL HIGH SCHOOL,11,997,30,CUMBERLAND,CUMBERLAND REGIONAL,496.0,502.0,998.0,543,542,1085
DAVID BREARLEY MIDDLE/HIGH SCHOOL,39,2420,10,UNION,KENILWORTH BORO,490.0,506.0,996.0,543,542,1085
DAYLIGHT/TWILIGHT HIGH SCHOOL,21,5210,30,MERCER,TRENTON CITY,383.0,393.0,776.0,543,542,1085
DELAWARE VALLEY REGIONAL HIGH SCHOOL,19,1050,40,HUNTERDON,DELAWARE VALLEY REGIONAL,579.0,590.0,1169.0,543,542,1085
DELRAN HIGH SCHOOL,5,1060,5,BURLINGTON,DELRAN TWP,551.0,545.0,1096.0,543,542,1085
DELSEA REGIONAL HIGH SCHOOL,15,4940,50,GLOUCESTER,DELSEA REGIONAL H.S DIST.,532.0,535.0,1067.0,543,542,1085
DEPTFORD TOWNSHIP HIGH SCHOOL,15,1100,40,GLOUCESTER,DEPTFORD TWP,528.0,527.0,1055.0,543,542,1085
DOVER HIGH SCHOOL,27,1110,40,MORRIS,DOVER TOWN,515.0,509.0,1024.0,543,542,1085
DR RONALD MCNAIR HIGH SCHOOL,17,2390,75,HUDSON,JERSEY CITY,650.0,632.0,1282.0,543,542,1085
DR. CHARLES E. BRIMM MEDICAL ARTS HIGH SCHOOL,7,680,29,CAMDEN,CAMDEN CITY,488.0,487.0,975.0,543,542,1085
DUMONT HIGH SCHOOL,3,1130,40,BERGEN,DUMONT BORO,558.0,549.0,1107.0,543,542,1085
DUNELLEN HIGH SCHOOL,23,1140,40,MIDDLESEX,DUNELLEN BORO,532.0,554.0,1086.0,543,542,1085
DWIGHT MORROW HIGH SCHOOL/ACADEMIES@ENGLEWOOD,3,1370,40,BERGEN,ENGLEWOOD CITY,561.0,559.0,1120.0,543,542,1085
EAGLE ACADEMY FOR YOUNG MEN OF NEWARK,13,3570,307,ESSEX,NEWARK CITY,,,0.0,543,542,1085
EAST BRUNSWICK HIGH SCHOOL,23,1170,50,MIDDLESEX,EAST BRUNSWICK TWP,625.0,606.0,1231.0,543,542,1085
EAST ORANGE CAMPUS HIGH SCHOOL,13,1210,35,ESSEX,EAST ORANGE,402.0,422.0,824.0,543,542,1085
EAST ORANGE STEM ACADEMY HIGH SCHOOL,13,1210,30,ESSEX,EAST ORANGE,507.0,512.0,1019.0,543,542,1085
EAST SIDE HIGH SCHOOL,13,3570,40,ESSEX,NEWARK CITY,421.0,423.0,844.0,543,542,1085
EASTERN REGIONAL HIGH SCHOOL,7,1255,50,CAMDEN,EASTERN CAMDEN COUNTY REG,589.0,586.0,1175.0,543,542,1085
EDISON HIGH SCHOOL,23,1290,50,MIDDLESEX,EDISON TWP,558.0,554.0,1112.0,543,542,1085
EGG HARBOR TOWNSHIP HIGH SCHOOL,1,1310,5,ATLANTIC,EGG HARBOR TWP,540.0,546.0,1086.0,543,542,1085
ELIZABETH HIGH SCHOOL - FRANK J CICARELL ACADEMY,39,1320,25,UNION,ELIZABETH CITY,558.0,550.0,1108.0,543,542,1085
EMERSON JR SR HIGH,3,1360,50,BERGEN,EMERSON BORO,563.0,570.0,1133.0,543,542,1085
EWING HIGH SCHOOL,21,1430,50,MERCER,EWING TWP,488.0,507.0,995.0,543,542,1085
FAIR LAWN HIGH SCHOOL,3,1450,50,BERGEN,FAIR LAWN BORO,593.0,581.0,1174.0,543,542,1085
FLORENCE TOWNSHIP MEMORIAL HIGH SCHOOL,5,1520,50,BURLINGTON,FLORENCE TWP,567.0,577.0,1144.0,543,542,1085
FORT LEE HIGH SCHOOL,3,1550,50,BERGEN,FORT LEE BORO,600.0,584.0,1184.0,543,542,1085
FOUNDATION ACADEMY CHARTER SCHOOL,80,6017,932,CHARTERS,FOUNDATION ACADEMY CS,510.0,488.0,998.0,543,542,1085
FRANKLIN HIGH SCHOOL,35,1610,50,SOMERSET,FRANKLIN TWP,534.0,523.0,1057.0,543,542,1085
FREEDOM PREP CHARTER SCHOOL,80,6240,900,CHARTERS,FREEDOM PREP CHARTER SCHOOL,477.0,476.0,953.0,543,542,1085
FREEHOLD BOROUGH HIGH SCHOOL,25,1650,50,MONMOUTH,FREEHOLD REGIONAL,600.0,590.0,1190.0,543,542,1085
FREEHOLD TOWNSHIP HIGH SCHOOL,25,1650,55,MONMOUTH,FREEHOLD REGIONAL,566.0,569.0,1135.0,543,542,1085
GARFIELD AUXILIARY MS/HS,3,1700,301,BERGEN,GARFIELD CITY,,,0.0,543,542,1085
GARFIELD HIGH SCHOOL,3,1700,50,BERGEN,GARFIELD CITY,505.0,498.0,1003.0,543,542,1085
GARRETT MORGAN ACADEMY,31,4010,308,PASSAIC,PATERSON CITY,453.0,457.0,910.0,543,542,1085
GATEWAY REGIONAL HIGH SCHOOL,15,1715,50,GLOUCESTER,GATEWAY REGIONAL,520.0,538.0,1058.0,543,542,1085
GLASSBORO HIGH SCHOOL,15,1730,50,GLOUCESTER,GLASSBORO,521.0,515.0,1036.0,543,542,1085
GLEN RIDGE HIGH SCHOOL,13,1750,50,ESSEX,GLEN RIDGE BORO,601.0,609.0,1210.0,543,542,1085
GLEN ROCK HIGH SCHOOL,3,1760,50,BERGEN,GLEN ROCK BORO,619.0,611.0,1230.0,543,542,1085
GLOUCESTER CITY JR. SR. HIGH SCHOOL,7,1770,50,CAMDEN,GLOUCESTER CITY,458.0,466.0,924.0,543,542,1085
GLOUCESTER COUNTY INSTITUTE OF TECHNOLOGY,15,1775,10,GLOUCESTER,GLOUCESTER CO VOCATIONAL,567.0,581.0,1148.0,543,542,1085
GOVERNOR LIVINGSTON HIGH SCHOOL,39,310,5,UNION,BERKELEY HEIGHTS TWP,599.0,602.0,1201.0,543,542,1085
GREAT FUTURES CHARTER SCHOOL,80,6184,947,CHARTERS,GREAT FUTURES CHARTER SCHOOL,456.0,470.0,926.0,543,542,1085
GREAT OAKS LEGACY CHARTER SCHOOL,80,6053,917,CHARTERS,GREAT OAKS LEGACY CHARTER SCHOOL,518.0,466.0,984.0,543,542,1085
HACKENSACK HIGH SCHOOL,3,1860,50,BERGEN,HACKENSACK CITY,507.0,498.0,1005.0,543,542,1085
HACKETTSTOWN HIGH SCHOOL,41,1870,50,WARREN,HACKETTSTOWN,554.0,551.0,1105.0,543,542,1085
HADDON HEIGHTS JR./SR. HIGH SCHOOL,7,1880,50,CAMDEN,HADDON HEIGHTS BORO,525.0,524.0,1049.0,543,542,1085
HADDON TOWNSHIP HIGH SCHOOL,7,1890,50,CAMDEN,HADDON TWP,567.0,552.0,1119.0,543,542,1085
HADDONFIELD MEMORIAL HIGH SCHOOL,7,1900,50,CAMDEN,HADDONFIELD BORO,606.0,608.0,1214.0,543,542,1085
HAMILTON EAST - STEINERT,21,1950,50,MERCER,HAMILTON TWP,539.0,554.0,1093.0,543,542,1085
HAMILTON NORTH - NOTTINGHAM,21,1950,55,MERCER,HAMILTON TWP,509.0,524.0,1033.0,543,542,1085
