SCHOOL_NAME,COUNTY_CODE,DISTRICT_CODE,SCHOOL_CODE,COUNTY_NAME,DISTRICT_NAME,Math,Reading and Writing,TOTAL_AVG,Math_State_avg,Reading_State_avg,TOTAL_STATE_AVG
HAMILTON WEST-WATSON,21,1950,60,MERCER,HAMILTON TWP,509.0,517.0,1026.0,543,542,1085
HAMMONTON HIGH SCHOOL,1,1960,50,ATLANTIC,HAMMONTON TOWN,543.0,534.0,1077.0,543,542,1085
HANOVER PARK HIGH SCHOOL,27,1990,50,MORRIS,HANOVER PARK REGIONAL,584.0,594.0,1178.0,543,542,1085
HARRISON HIGH SCHOOL,17,2060,50,HUDSON,HARRISON TOWN,487.0,494.0,981.0,543,542,1085
HASBROUCK HEIGHTS HIGH SCHOOL,3,2080,50,BERGEN,HASBROUCK HEIGHTS BORO,583.0,566.0,1149.0,543,542,1085
HAWTHORNE HIGH SCHOOL,31,2100,50,PASSAIC,HAWTHORNE BORO,506.0,533.0,1039.0,543,542,1085
HENRY HUDSON REGIONAL SCHOOL,25,2120,50,MONMOUTH,HENRY HUDSON REGIONAL,558.0,542.0,1100.0,543,542,1085
HENRY P. BECTON REGIONAL HIGH SCHOOL,3,745,50,BERGEN,CARLSTADT-EAST RUTHERFORD,522.0,529.0,1051.0,543,542,1085
HENRY SNYDER HIGH SCHOOL,17,2390,50,HUDSON,JERSEY CITY,418.0,430.0,848.0,543,542,1085
HIGH POINT REGIONAL HIGH SCHOOL,37,2165,30,SUSSEX,HIGH POINT REGIONAL,537.0,543.0,1080.0,543,542,1085
HIGH TECH HIGH SCHOOL,17,2295,50,HUDSON,HUDSON COUNTY VOCATIONAL,598.0,586.0,1184.0,543,542,1085
HIGH TECHNOLOGY HIGH SCHOOL,25,3260,10,MONMOUTH,MONMOUTH CO VOCATIONAL,766.0,726.0,1492.0,543,542,1085
HIGHLAND PARK HIGH SCHOOL,23,2150,50,MIDDLESEX,HIGHLAND PARK BORO,636.0,630.0,1266.0,543,542,1085
HIGHLAND REGIONAL HIGH SCHOOL,7,390,20,CAMDEN,BLACK HORSE PIKE REGIONAL,500.0,505.0,1005.0,543,542,1085
HIGHTSTOWN HIGH SCHOOL,21,1245,50,MERCER,EAST WINDSOR REGIONAL,560.0,558.0,1118.0,543,542,1085
HILLSBOROUGH HIGH SCHOOL,35,2170,30,SOMERSET,HILLSBOROUGH TWP,616.0,603.0,1219.0,543,542,1085
HILLSIDE HIGH SCHOOL,39,2190,50,UNION,HILLSIDE TWP,463.0,478.0,941.0,543,542,1085
HOBOKEN CHARTER SCHOOL,80,6720,930,CHARTERS,HOBOKEN CS,427.0,439.0,866.0,543,542,1085
HOBOKEN HIGH SCHOOL,17,2210,5,HUDSON,HOBOKEN CITY,446.0,463.0,909.0,543,542,1085
HOLMDEL HIGH SCHOOL,25,2230,20,MONMOUTH,HOLMDEL TWP,625.0,610.0,1235.0,543,542,1085
HOPATCONG HIGH SCHOOL,37,2240,30,SUSSEX,HOPATCONG,535.0,554.0,1089.0,543,542,1085
HOPEWELL VALLEY CENTRAL HIGH SCHOOL,21,2280,30,MERCER,HOPEWELL VALLEY REGIONAL,602.0,608.0,1210.0,543,542,1085
HOWELL HIGH SCHOOL,25,1650,60,MONMOUTH,FREEHOLD REGIONAL,561.0,566.0,1127.0,543,542,1085
HUNTERDON CENTRAL REGIONAL HIGH SCHOOL DISTRICT,19,2300,50,HUNTERDON,HUNTERDON CENTRAL REG,601.0,593.0,1194.0,543,542,1085
HUNTERDON COUNTY ACADEMIES,19,2308,300,HUNTERDON,HUNTERDON CO VOCATIONAL,,,0.0,543,542,1085
INDIAN HILLS HIGH SCHOOL,3,4300,30,BERGEN,RAMAPO-INDIAN HILL REG,574.0,584.0,1158.0,543,542,1085
INFINITY INSTITUTE,17,2390,2,HUDSON,JERSEY CITY,629.0,578.0,1207.0,543,542,1085
INNOVATION HIGH SCHOOL,17,2390,301,HUDSON,JERSEY CITY,464.0,472.0,936.0,543,542,1085
INTERNATIONAL HIGH SCHOOL,31,4010,35,PASSAIC,PATERSON CITY,429.0,442.0,871.0,543,542,1085
IRVINGTON HIGH SCHOOL,13,2330,50,ESSEX,IRVINGTON TOWNSHIP,418.0,435.0,853.0,543,542,1085
J. CHRISTIAN BOLLWAGE FINANCE ACADEMY,39,1320,303,UNION,ELIZABETH CITY,477.0,456.0,933.0,543,542,1085
JACKSON LIBERTY HIGH SCHOOL,29,2360,25,OCEAN,JACKSON TWP,550.0,549.0,1099.0,543,542,1085
JACKSON MEMORIAL HIGH SCHOOL,29,2360,20,OCEAN,JACKSON TWP,564.0,550.0,1114.0,543,542,1085
JAMES CALDWELL HIGH SCHOOL,13,660,50,ESSEX,CALDWELL-WEST CALDWELL,564.0,573.0,1137.0,543,542,1085
JAMES J FERRIS HIGH SCHOOL,17,2390,60,HUDSON,JERSEY CITY,434.0,426.0,860.0,543,542,1085
JEFFERSON TOWNSHIP HIGH SCHOOL,27,2380,20,MORRIS,JEFFERSON TWP,546.0,541.0,1087.0,543,542,1085
JOHN E. DWYER TECHNOLOGY ACADEMY,39,1320,401,UNION,ELIZABETH CITY,422.0,414.0,836.0,543,542,1085
JOHN F. KENNEDY MEMORIAL HIGH SCHOOL,23,5850,40,MIDDLESEX,WOODBRIDGE TWP,527.0,516.0,1043.0,543,542,1085
JOHN F. SCARPA TECHNICAL EDUCATION CENTER OF CUMBERLAND COUNTY,11,995,30,CUMBERLAND,CUMBERLAND CO VOCATIONAL,,,0.0,543,542,1085
JOHN P. STEVENS HIGH SCHOOL,23,1290,53,MIDDLESEX,EDISON TWP,657.0,621.0,1278.0,543,542,1085
JONATHAN DAYTON HIGH SCHOOL,39,5000,10,UNION,SPRINGFIELD TWP,571.0,579.0,1150.0,543,542,1085
KEANSBURG HIGH SCHOOL,25,2400,10,MONMOUTH,KEANSBURG BORO,476.0,482.0,958.0,543,542,1085
KEARNY HIGH SCHOOL,17,2410,50,HUDSON,KEARNY TOWN,496.0,508.0,1004.0,543,542,1085
KEYPORT HIGH SCHOOL,25,2430,50,MONMOUTH,KEYPORT BORO,497.0,499.0,996.0,543,542,1085
KINGSWAY REGIONAL HIGH SCHOOL,15,2440,50,GLOUCESTER,KINGSWAY REGIONAL,555.0,558.0,1113.0,543,542,1085
KINNELON HIGH SCHOOL,27,2460,50,MORRIS,KINNELON BORO,598.0,600.0,1198.0,543,542,1085
KITTATINNY REGIONAL HIGH SCHOOL,37,2465,50,SUSSEX,KITTATINNY REGIONAL,552.0,556.0,1108.0,543,542,1085
KNOWLEDGE ADVANCED SKILLS,17,2295,301,HUDSON,HUDSON COUNTY VOCATIONAL,,,0.0,543,542,1085
LACEY TOWNSHIP HIGH SCHOOL,29,2480,20,OCEAN,LACEY TWP,528.0,541.0,1069.0,543,542,1085
LAKELAND REGIONAL HIGH SCHOOL,31,2510,50,PASSAIC,LAKELAND REGIONAL,555.0,564.0,1119.0,543,542,1085
LAKEWOOD HIGH SCHOOL,29,2520,50,OCEAN,LAKEWOOD TWP,445.0,433.0,878.0,543,542,1085
LAWRENCE HIGH SCHOOL,21,2580,40,MERCER,LAWRENCE TWP,554.0,554.0,1108.0,543,542,1085
LEAD CHARTER SCHOOL,80,6109,953,CHARTERS,LEAD CHARTER SCHOOL,,,0.0,543,542,1085
LEAP ACADEMY UNIVERSITY CHARTER SCHOOL,80,7109,931,CHARTERS,LEAP ACADEMY UNIVERSITY CS,432.0,442.0,874.0,543,542,1085
LENAPE HIGH SCHOOL,5,2610,50,BURLINGTON,LENAPE REGIONAL,581.0,573.0,1154.0,543,542,1085
LENAPE VALLEY REGIONAL HIGH SCHOOL,37,2615,50,SUSSEX,LENAPE VALLEY REGIONAL,547.0,554.0,1101.0,543,542,1085
LEONIA HIGH SCHOOL,3,2620,50,BERGEN,LEONIA BORO,599.0,587.0,1186.0,543,542,1085
LIBERTY HIGH SCHOOL,17,2390,82,HUDSON,JERSEY CITY,497.0,510.0,1007.0,543,542,1085
LINCOLN HIGH SCHOOL,17,2390,70,HUDSON,JERSEY CITY,431.0,431.0,862.0,543,542,1085
LINDEN HIGH SCHOOL,39,2660,50,UNION,LINDEN CITY,473.0,489.0,962.0,543,542,1085
LINDENWOLD HIGH SCHOOL,7,2670,5,CAMDEN,LINDENWOLD BORO,453.0,461.0,914.0,543,542,1085
LIVINGSTON HIGH SCHOOL,13,2730,50,ESSEX,LIVINGSTON TWP,642.0,624.0,1266.0,543,542,1085
LODI HIGH SCHOOL,3,2740,50,BERGEN,LODI BOROUGH,494.0,490.0,984.0,543,542,1085
LONG BRANCH HIGH SCHOOL,25,2770,50,MONMOUTH,LONG BRANCH CITY,464.0,467.0,931.0,543,542,1085
LOWER CAPE MAY REGIONAL HIGH SCHOOL,9,2820,50,CAPE MAY,LOWER CAPE MAY REGIONAL,527.0,522.0,1049.0,543,542,1085
LYNDHURST HIGH SCHOOL,3,2860,50,BERGEN,LYNDHURST TWP,527.0,526.0,1053.0,543,542,1085
M.E.T.S. CHARTER SCHOOL,80,6068,951,CHARTERS,M E T S CHARTER SCHOOL,431.0,448.0,879.0,543,542,1085
MADISON HIGH SCHOOL,27,2870,50,MORRIS,MADISON BORO,606.0,607.0,1213.0,543,542,1085
MAHWAH HIGH SCHOOL,3,2900,50,BERGEN,MAHWAH TWP,616.0,594.0,1210.0,543,542,1085
MAINLAND REGIONAL HIGH SCHOOL,1,2910,50,ATLANTIC,MAINLAND REGIONAL,557.0,558.0,1115.0,543,542,1085
MALCOLM X SHABAZZ HIGH SCHOOL,13,3570,50,ESSEX,NEWARK CITY,380.0,396.0,776.0,543,542,1085
MANALAPAN HIGH SCHOOL,25,1650,70,MONMOUTH,FREEHOLD REGIONAL,583.0,573.0,1156.0,543,542,1085
MANASQUAN HIGH SCHOOL,25,2930,50,MONMOUTH,MANASQUAN BORO,576.0,570.0,1146.0,543,542,1085
MANCHESTER TOWNSHIP HIGH SCHOOL,29,2940,40,OCEAN,MANCHESTER TWP,537.0,520.0,1057.0,543,542,1085
MANVILLE HIGH SCHOOL,35,3000,50,SOMERSET,MANVILLE BORO,528.0,535.0,1063.0,543,542,1085
MAPLE SHADE HIGH SCHOOL,5,3010,30,BURLINGTON,MAPLE SHADE TWP,526.0,520.0,1046.0,543,542,1085
MARINE ACADEMY OF SCIENCE AND TECHNOLOGY,25,3260,20,MONMOUTH,MONMOUTH CO VOCATIONAL,671.0,676.0,1347.0,543,542,1085
MARINE ACADEMY OF TECHNOLOGY AND ENVIRONMENTAL SCIENCE,29,3790,45,OCEAN,OCEAN COUNTY VOCATIONAL,724.0,689.0,1413.0,543,542,1085
MARION P. THOMAS CHARTER SCHOOL,80,7210,940,CHARTERS,MARION P. THOMAS CS,413.0,437.0,850.0,543,542,1085
MARLBORO HIGH SCHOOL,25,1650,80,MONMOUTH,FREEHOLD REGIONAL,613.0,604.0,1217.0,543,542,1085
MATAWAN REGIONAL HIGH SCHOOL,25,3040,50,MONMOUTH,MATAWAN-ABERDEEN REGIONAL,566.0,541.0,1107.0,543,542,1085
MCVS ASSUNPINK CENTER,21,3105,30,MERCER,MERCER COUNTY VOCATIONAL,,,0.0,543,542,1085
MEMORIAL HIGH SCHOOL,17,5670,50,HUDSON,WEST NEW YORK TOWN,483.0,480.0,963.0,543,542,1085
MEMORIAL SENIOR HIGH SCHOOL,3,1345,50,BERGEN,ELMWOOD PARK,488.0,506.0,994.0,543,542,1085
MERCER COUNTY TECHNICAL SCHOOL CULINARY ARTS ACADEMY,21,3105,300,MERCER,MERCER COUNTY VOCATIONAL,,,0.0,543,542,1085
MERCER COUNTY TECHNICAL SCHOOL HEALTH SCIENCES ACADEMY,21,3105,304,MERCER,MERCER COUNTY VOCATIONAL,618.0,598.0,1216.0,543,542,1085
MERCER COUNTY TECHNICAL SCHOOL STEM ACADEMY,21,3105,302,MERCER,MERCER COUNTY VOCATIONAL,,,0.0,543,542,1085
METUCHEN HIGH SCHOOL,23,3120,50,MIDDLESEX,METUCHEN BORO,594.0,599.0,1193.0,543,542,1085
MIDDLE TOWNSHIP HIGH SCHOOL,9,3130,50,CAPE MAY,MIDDLE TWP,536.0,534.0,1070.0,543,542,1085
MIDDLESEX CO VOC SCHOOL EAST BRUNS. SCHOOL OF CAREER DEVELOP,23,3150,301,MIDDLESEX,MIDDLESEX CO VOCATIONAL,426.0,457.0,883.0,543,542,1085
MIDDLESEX CO VOC SCHOOL PISCATAWAY SCHOOL OF CAREER DEVELOP,23,3150,300,MIDDLESEX,MIDDLESEX CO VOCATIONAL,,,0.0,543,542,1085
MIDDLESEX COUNTY VOC ACAD ALLIED HEALTH & BIOMEDICAL SCIENCE,23,3150,70,MIDDLESEX,MIDDLESEX CO VOCATIONAL,696.0,682.0,1378.0,543,542,1085
MIDDLESEX COUNTY VOC ACADEMY MATH SCIENCE &ENGINEERING TECHN,23,3150,10,MIDDLESEX,MIDDLESEX CO VOCATIONAL,767.0,731.0,1498.0,543,542,1085
MIDDLESEX COUNTY VOCATIONAL SCHOOL  EAST  BRUNSWICK,23,3150,40,MIDDLESEX,MIDDLESEX CO VOCATIONAL,508.0,538.0,1046.0,543,542,1085
MIDDLESEX COUNTY VOCATIONAL SCHOOL PERTH AMBOY,23,3150,60,MIDDLESEX,MIDDLESEX CO VOCATIONAL,486.0,495.0,981.0,543,542,1085
MIDDLESEX COUNTY VOCATIONAL SCHOOL PISCATAWAY,23,3150,65,MIDDLESEX,MIDDLESEX CO VOCATIONAL,464.0,474.0,938.0,543,542,1085
MIDDLESEX HIGH SCHOOL,23,3140,50,MIDDLESEX,MIDDLESEX BORO,553.0,527.0,1080.0,543,542,1085
MIDDLETOWN HIGH SCHOOL NORTH,25,3160,50,MONMOUTH,MIDDLETOWN TWP,555.0,548.0,1103.0,543,542,1085
MIDDLETOWN HIGH SCHOOL SOUTH,25,3160,53,MONMOUTH,MIDDLETOWN TWP,594.0,584.0,1178.0,543,542,1085
MIDLAND PARK JR./SR. HIGH SCHOOL,3,3170,50,BERGEN,MIDLAND PARK BORO,533.0,560.0,1093.0,543,542,1085
MILLBURN HIGH SCHOOL,13,3190,50,ESSEX,MILLBURN TWP,682.0,665.0,1347.0,543,542,1085
MILLVILLE SENIOR HIGH SCHOOL,11,3230,50,CUMBERLAND,MILLVILLE CITY,507.0,517.0,1024.0,543,542,1085
MONMOUTH REGIONAL HIGH SCHOOL,25,3270,50,MONMOUTH,MONMOUTH REGIONAL,530.0,540.0,1070.0,543,542,1085
MONROE TOWNSHIP HIGH SCHOOL,23,3290,5,MIDDLESEX,MONROE TWP,597.0,586.0,1183.0,543,542,1085
MONTCLAIR HIGH SCHOOL,13,3310,50,ESSEX,MONTCLAIR TOWN,593.0,599.0,1192.0,543,542,1085
MONTGOMERY HIGH SCHOOL,35,3320,30,SOMERSET,MONTGOMERY TWP,670.0,641.0,1311.0,543,542,1085
MONTVILLE TOWNSHIP HIGH SCHOOL,27,3340,10,MORRIS,MONTVILLE TWP,619.0,598.0,1217.0,543,542,1085
MOORESTOWN HIGH SCHOOL,5,3360,40,BURLINGTON,MOORESTOWN TWP,616.0,607.0,1223.0,543,542,1085
MORRIS COUNTY SCHOOL OF TECHNOLOGY,27,3365,50,MORRIS,MORRIS COUNTY VOCATIONAL,616.0,623.0,1239.0,543,542,1085
MORRIS HILLS HIGH SCHOOL,27,3370,50,MORRIS,MORRIS HILLS REGIONAL,591.0,582.0,1173.0,543,542,1085
MORRIS KNOLLS HIGH SCHOOL,27,3370,60,MORRIS,MORRIS HILLS REGIONAL,574.0,573.0,1147.0,543,542,1085
MORRISTOWN HIGH SCHOOL,27,3385,50,MORRIS,MORRIS SCHOOL DISTRICT,571.0,581.0,1152.0,543,542,1085
MOUNT OLIVE HIGH SCHOOL,27,3450,10,MORRIS,MOUNT OLIVE TWP,588.0,571.0,1159.0,543,542,1085
MOUNTAIN LAKES HIGH SCHOOL,27,3460,50,MORRIS,MOUNTAIN LAKES BORO,627.0,631.0,1258.0,543,542,1085
NEPTUNE HIGH SCHOOL,25,3510,50,MONMOUTH,NEPTUNE TWP,476.0,496.0,972.0,543,542,1085
NEW BRUNSWICK HIGH SCHOOL,23,3530,50,MIDDLESEX,NEW BRUNSWICK CITY,474.0,470.0,944.0,543,542,1085
NEW EGYPT HIGH SCHOOL,29,4190,10,OCEAN,PLUMSTED TWP,563.0,556.0,1119.0,543,542,1085
NEW MILFORD HIGH SCHOOL,3,3550,50,BERGEN,NEW MILFORD BORO,560.0,559.0,1119.0,543,542,1085
NEW PROVIDENCE HIGH SCHOOL,39,3560,50,UNION,NEW PROVIDENCE BORO,615.0,607.0,1222.0,543,542,1085
NEWARK LEADERSHIP ACADEMY,13,3570,302,ESSEX,NEWARK CITY,,,0.0,543,542,1085
NEWARK TECH,13,1390,70,ESSEX,ESSEX CO VOC-TECH,476.0,474.0,950.0,543,542,1085
NEWTON HIGH SCHOOL,37,3590,50,SUSSEX,NEWTON TOWN,562.0,563.0,1125.0,543,542,1085
NORTH 13TH ST TECH,13,1390,50,ESSEX,ESSEX CO VOC-TECH,471.0,467.0,938.0,543,542,1085
NORTH ARLINGTON HIGH SCHOOL,3,3600,50,BERGEN,NORTH ARLINGTON BORO,515.0,523.0,1038.0,543,542,1085
NORTH BERGEN HIGH SCHOOL,17,3610,50,HUDSON,NORTH BERGEN TWP,482.0,495.0,977.0,543,542,1085
NORTH BRUNSWICK TOWNSHIP HIGH SCHOOL,23,3620,40,MIDDLESEX,NORTH BRUNSWICK TWP,558.0,550.0,1108.0,543,542,1085
NORTH HUNTERDON HIGH SCHOOL,19,3660,50,HUNTERDON,N HUNT/VOORHEES REGIONAL,611.0,601.0,1212.0,543,542,1085
NORTH PLAINFIELD HIGH SCHOOL,35,3670,50,SOMERSET,NORTH PLAINFIELD BORO,491.0,487.0,978.0,543,542,1085
NORTH STAR ACADEMY CHARTER SCHOOL,80,7320,960,CHARTERS,NORTH STAR ACADEMY CHARTER SCHOOL,559.0,547.0,1106.0,543,542,1085
NORTH WARREN REGIONAL SCHOOL,41,3675,50,WARREN,NORTH WARREN REGIONAL,567.0,567.0,1134.0,543,542,1085
NORTHERN BURLINGTON COUNTY REGIONAL HIGH SCHOOL,5,3690,50,BURLINGTON,NORTHERN BURLINGTON REG,563.0,570.0,1133.0,543,542,1085
NORTHERN HIGHLANDS REGIONAL HIGH SCHOOL,3,3700,50,BERGEN,NORTHERN HIGHLANDS REG,643.0,625.0,1268.0,543,542,1085
NORTHERN VALLEY REGIONAL HIGH SCHOOL AT DEMAREST,3,3710,50,BERGEN,NORTHERN VALLEY REGIONAL,642.0,624.0,1266.0,543,542,1085
NORTHERN VALLEY REGIONAL HIGH SCHOOL AT OLD TAPPAN,3,3710,60,BERGEN,NORTHERN VALLEY REGIONAL,607.0,612.0,1219.0,543,542,1085
NUTLEY HIGH SCHOOL,13,3750,50,ESSEX,NUTLEY TOWN,547.0,543.0,1090.0,543,542,1085
OAKCREST HIGH SCHOOL,1,1790,50,ATLANTIC,GREATER EGG HARBOR REG,482.0,497.0,979.0,543,542,1085
OCEAN CITY HIGH SCHOOL,9,3780,50,CAPE MAY,OCEAN CITY,558.0,562.0,1120.0,543,542,1085
OCEAN COUNTY VOCATIONAL TECHNICAL SCHOOL WARETOWN CENTER,29,3790,40,OCEAN,OCEAN COUNTY VOCATIONAL,,,0.0,543,542,1085
OCEAN TOWNSHIP HIGH SCHOOL,25,3810,30,MONMOUTH,OCEAN TWP,562.0,565.0,1127.0,543,542,1085
OLD BRIDGE HIGH SCHOOL,23,3845,40,MIDDLESEX,OLD BRIDGE TWP,563.0,562.0,1125.0,543,542,1085
ORANGE HIGH SCHOOL,13,3880,50,ESSEX,CITY OF ORANGE TWP,437.0,442.0,879.0,543,542,1085
OVERBROOK SENIOR HIGH SCHOOL,7,4110,10,CAMDEN,PINE HILL BORO,488.0,506.0,994.0,543,542,1085
PALISADES PARK JR-SR HIGH SCHOOL,3,3910,50,BERGEN,PALISADES PARK,578.0,551.0,1129.0,543,542,1085
PALMYRA HIGH SCHOOL,5,3920,50,BURLINGTON,PALMYRA BORO,543.0,553.0,1096.0,543,542,1085
PARAMUS HIGH SCHOOL,3,3930,50,BERGEN,PARAMUS BORO,574.0,560.0,1134.0,543,542,1085
