"","","","","Violent Crimes","Violent Crimes","Violent Crimes","Violent Crimes","Violent Crimes","Non-Violent Crimes","Non-Violent Crimes","Non-Violent Crimes","Non-Violent Crimes","Non-Violent Crimes"
"Ocean","Seaside Heights","10","3","35","40","26","34","26","203","170","173","133","215"
"Passaic","Haledon","35","9","11","26","29","18","15","166","158","171","158","120"
"Passaic","Bloomingdale","39","11","6","10","6","2","1","32","44","36","44","37"
"Salem","Elmer","3","2","2","2","0","0","0","31","14","8","10","4"
"Salem","Mannington","3","2","-","-","-","-","-","-","-","-","-","-"
"Hunterdon","Lebanon Twp","23","7","0","-","1","1","3","26","-","29","30","28"
"Hunterdon","Raritan Twp","16","7","11","12","2","5","5","152","99","112","91","95"
"Hunterdon","Kingwood","23","7","-","-","-","-","-","-","-","-","-","-"
"Hunterdon","Lebanon","23","7","-","0","-","-","-","-","28","-","-","-"
"Hunterdon","West Amwell","15","7","5","3","2","2","2","10","18","33","31","16"
"Hunterdon","Readington","16","7","1","4","8","2","2","126","113","93","79","82"
"Hunterdon","Tewksbury","23","7","2","0","0","0","0","20","18","27","19","12"
"Hunterdon","Hampton Boro","23","7","-","-","-","-","-","-","-","-","-","-"
"Hunterdon","High Bridge","23","7","1","1","2","0","4","35","37","29","31","21"
"Hunterdon","Frenchtown","23","7","0","1","0","1","1","16","14","11","10","0"
"Camden","Tavistock","6","1","-","-","0","1","0","-","-","4","1","1"
"Camden","Winslow","4","1","72","55","40","32","64","510","526","139","171","512"
"Camden","Pine Hill","8","1","39","40","21","32","25","297","267","192","249","162"
"Camden","Somerdale","6","1","9","11","10","6","13","320","333","329","255","175"
"Cape May","Stone Harbor","1","2","1","5","2","1","0","104","122","99","98","63"
"Cape May","Lower Township","1","2","39","35","20","32","35","467","426","387","326","163"
"Cape May","Ocean City","1","2","13","10","14","12","5","475","475","364","385","283"
"Cumberland","Hopewell","1","2","-","-","-","-","-","-","-","-","-","-"
"Cumberland","Commercial","1","2","-","-","-","-","-","-","-","-","-","-"
"Cape May","Wildwood Crest","1","2","6","2","15","9","7","133","89","108","87","61"
"Cape May","West Cape May","1","2","0","1","0","0","1","22","23","14","6","13"
"Burlington","Springfield","8","3","0","2","2","0","1","38","37","37","31","26"
"Burlington","Westampton","8","3","19","15","23","26","18","194","144","139","160","144"
"Burlington","Woodland","8","3","-","-","-","-","-","-","-","-","-","-"
"Camden","Berlin","8","1","7","4","14","10","13","151","107","136","139","123"
"Camden","Brooklawn","5","1","16","23","20","20","16","146","187","209","197","132"
"Camden","Chesilhurst","4","1","5","8","8","3","3","36","38","42","20","47"
"Camden","Gibbsboro","6","1","0","1","1","1","4","37","41","32","38","28"
"Camden","Gloucester Twp","4","1","149","95","87","101","78","1,267","1,004","1,036","1,130","945"
"Camden","Haddonfield","6","1","4","11","2","5","6","154","150","191","176","100"
"Camden","Oaklyn","6","1","6","5","5","2","10","104","156","140","145","140"
"Camden","Magnolia","5","1","12","5","10","13","9","105","103","73","102","85"
"Burlington","Riverton","7","3","0","2","1","0","2","26","33","53","39","35"
"Burlington","Pemberton","8","3","0","2","2","1","2","17","12","49","31","28"
"Burlington","Riverside","7","3","13","18","11","9","7","64","20","11","16","15"
"Burlington","North Hanover","12","3","11","7","0","3","6","39","42","32","29","22"
"Burlington","Palmyra","7","1","13","17","13","15","12","171","156","198","143","152"
"Burlington","Mount Laurel","7","3","28","33","30","38","52","644","525","630","570","664"
"Burlington","New Hanover","12","3","1","4","2","0","0","1","10","4","4","2"
"Burlington","Medford","8","3","15","17","21","16","47","171","150","182","134","176"
"Burlington","Mount Holly","8","3","45","34","42","42","38","276","268","303","340","231"
"Burlington","Southampton","8","3","-","-","-","-","-","-","-","-","-","-"
"Burlington","Shamong","8","3","-","-","-","-","-","-","-","-","-","-"
"Burlington","Medford Lakes","8","3","3","2","3","0","1","21","15","35","24","21"
"Hunterdon","Union Twp","23","7","-","-","-","-","-","-","-","-","-","-"
"Hunterdon","Stockton","16","7","-","-","-","-","-","-","-","-","-","-"
"Hunterdon","Lambertville","15","7","8","3","4","5","2","44","47","62","45","44"
"Mercer","Lawrence","15","12","46","50","43","19","30","684","700","666","693","596"
"Mercer","Trenton","15","12","931","1,018","1,127","1,083","972","2,029","2,030","2,186","2,193","2,466"
"Mercer","Ewing","15","12","68","77","72","76","69","719","673","660","743","685"
"Mercer","Hightstown","14","12","7","14","6","5","1","64","54","41","40","34"
"Middlesex","Highland Park","18","6","7","6","1","5","8","161","139","179","186","166"
"Middlesex","Middlesex Borough","22","12","11","12","5","8","11","130","116","91","132","100"
"Middlesex","Carteret","19","6","45","34","38","44","45","290","294","243","326","295"
"Middlesex","East Brunswick","18","12","36","37","23","24","32","697","777","725","673","632"
"Hudson","Bayonne","31","8, 10","148","161","147","140","114","803","781","743","810","773"
"Gloucester","Woodbury Heights","3","1","5","6","3","2","0","59","74","64","73","52"
"Hudson","Jersey City","31, 33","8, 10","1,381","1,127","1,276","1,365","1,233","4,240","3,502","4,483","4,841","4,781"
"Hudson","Harrison","32","8","39","40","41","58","41","271","295","355","341","373"
"Hudson","Secaucus","32","9","37","33","39","33","30","509","510","391","454","526"
"Hunterdon","Bethlehem","23","7","-","-","-","-","-","-","-","-","-","-"
"Hunterdon","Clinton","23","7","3","0","4","2","1","35","24","27","11","13"
"Hunterdon","Delaware","16","7","1","3","1","1","1","26","20","12","17","14"
"Hunterdon","Franklin Twp","23","7","0","0","1","0","0","34","36","16","17","30"
"Hunterdon","Glen Gardner","23","7","-","-","-","-","-","-","-","-","-","-"
"Hunterdon","Holland","23","7","2","1","1","3","4","28","26","20","12","9"
"Gloucester","Paulsboro","3","1","20","30","22","28","16","227","228","168","196","196"
"Gloucester","Newfield","3","2","1","0","1","0","0","15","14","15","16","14"
"Gloucester","National Park","3","1","3","4","5","4","0","55","48","43","43","35"
"Gloucester","Monroe","4","1","48","32","34","44","47","684","456","549","548","462"
"Gloucester","Logan","3","1","10","7","4","6","5","171","130","92","146","115"
"Gloucester","West Deptford","3","1","11","16","16","12","19","377","359","271","349","290"
"Gloucester","Westville","5","1","18","7","7","14","5","113","113","101","138","118"
"Gloucester","Washington Twp","4","1","31","44","53","58","66","897","959","865","764","554"
"Gloucester","Wenonah","5","1","1","0","0","0","3","15","42","17","20","13"
"Gloucester","South Harrison","3","2","0","0","0","0","0","32","20","11","13","13"
"Gloucester","Swedesboro","3","2","2","2","1","1","1","28","31","26","15","14"
"Essex","Millburn","27","7","9","9","7","7","8","344","374","347","438","369"
"Essex","Irvington","28","10","687","568","509","445","354","1,836","1,532","1,258","1,409","1,277"
"Cumberland","Upper Deerfield","3","2","-","-","-","-","-","-","-","-","-","-"
"Cumberland","Millville","1","2","199","173","223","160","127","1,934","1,786","1,714","1,554","1,217"
"Essex","Cedar Grove","40","11","2","2","3","4","4","73","107","100","94","86"
"Essex","Belleville","29","8","102","95","62","81","62","831","715","600","647","589"
"Essex","Roseland","27","11","3","3","1","3","1","38","36","41","48","31"
"Essex","Verona","26","11","4","2","3","4","0","65","77","82","76","89"
"Gloucester","Clayton","3","2","5","6","7","12","10","159","141","159","124","70"
"Gloucester","Glassboro","3","1","27","22","34","17","38","353","408","385","395","327"
"Essex","North Caldwell","26","11","0","0","0","2","0","18","37","29","15","14"
"Bergen","Woodcliff Lake","39","5","0","1","3","1","0","39","38","21","24","20"
"Sussex","Andover Twp","24","5","2","4","-","-","-","28","33","-","-","-"
"Bergen","Wood-Ridge","36","9","2","3","4","3","7","37","22","58","67","83"
"Somerset","Watchung","21","7","8","7","1","1","1","343","363","411","366","395"
"Bergen","Washington Twp","39","5","0","1","0","3","0","47","27","17","15","29"
"Bergen","Waldwick","40","5","1","0","2","3","2","37","52","59","64","47"
"Sussex","Green","24","5","-","-","-","-","-","-","-","-","-","-"
"Sussex","Fredon","24","5","-","-","-","-","-","-","-","-","-","-"
"Sussex","Frankford","24","5","-","-","-","-","-","-","-","-","-","-"
"Burlington","Bordentown","7","3","1","3","2","0","3","9","18","13","43","23"
"Burlington","Bass River","9","2","-","-","-","-","-","-","-","-","-","-"
"Sussex","Branchville","24","5","-","-","-","-","-","-","-","-","-","-"
"Sussex","Lafayette","24","5","-","-","-","-","-","-","-","-","-","-"
"Sussex","Montague","24","5","-","-","-","-","-","-","-","-","-","-"
"Sussex","Hamburg","24","5","0","1","2","2","1","23","28","17","18","11"
"Sussex","Hardyston","24","5","6","5","5","1","7","77","81","63","62","38"
"Bergen","Tenafly","37","9","1","2","4","1","4","93","85","68","65","37"
"Bergen","Upper Saddle River","39","5","4","2","5","2","0","45","39","32","18","25"
"Bergen","Saddle Brook","38","9","10","6","2","9","1","288","254","250","247","192"
"Bergen","South Hackensack","36","9","11","5","10","10","6","28","17","59","65","63"
"Bergen","Ramsey","39","5","10","6","12","5","2","156","100","127","139","106"
"Bergen","Paramus","38","5","23","41","33","14","24","1,196","1,035","1,147","1,154","1,067"
"Bergen","Ridgewood","40","5","6","11","7","6","5","177","198","205","175","155"
"Somerset","Branchburg","16","7","3","2","8","3","4","65","68","65","59","80"
"Bergen","Ridgefield","36","9","1","3","3","2","3","52","44","58","73","68"
"Bergen","Rochelle Park","38","5","5","2","4","2","1","98","72","98","92","73"
"Somerset","Franklin Twp","17","12","42","64","62","48","48","940","818","791","779","670"
"Bergen","River Vale","39","5","1","0","0","1","1","17","14","26","15","24"
"Somerset","Bridgewater","23","7","20","11","15","19","16","536","430","412","387","331"
"Somerset","Millstone","16","7","-","-","-","-","-","-","-","-","-","-"
"Bergen","Rutherford","36","9","8","9","13","11","19","259","229","204","206","164"
"Somerset","Hillsborough","16","7","13","8","17","9","15","206","215","263","255","240"
"Somerset","Montgomery","16","7","2","6","4","6","7","116","100","93","103","97"
"Somerset","Peapack Gladstone","23","7","0","1","0","3","0","10","12","27","17","19"
"Somerset","Rocky Hill","16","7","-","-","-","-","-","-","-","-","-","-"
"Somerset","Somerville","16","7","20","14","23","10","16","186","191","180","135","131"
"Somerset","Warren","21","7","4","3","1","3","3","73","60","55","42","52"
"Bergen","Oakland","39","5","3","3","8","8","7","157","61","71","79","48"
"Bergen","Old Tappan","39","5","0","1","0","0","1","13","19","27","14","22"
"Bergen","Palisades Park","37","9","14","12","18","15","17","109","78","113","126","130"
"Monmouth","Wall","30","4","10","16","16","19","7","344","273","256","254","262"
"Monmouth","Tinton Falls","11","4","3","6","9","3","5","305","269","269","270","182"
"Monmouth","Spring Lake","30","4","0","0","1","0","0","54","44","53","60","41"
"Monmouth","Rumson","13","4","4","3","2","0","1","42","36","38","40","26"
"Monmouth","Oceanport","13","6","7","5","6","4","4","59","61","45","32","47"
"Monmouth","Neptune Twp","11","4","135","154","158","150","106","1,398","1,190","917","913","851"
"Monmouth","Millstone Twp","12","4","-","-","-","-","-","-","-","-","-","-"
"Monmouth","Howell","30","4","37","46","45","35","36","573","486","384","407","351"
"Monmouth","Matawan","12","6","7","3","2","0","0","73","48","35","28","10"
"Monmouth","Loch Arbour","11","6","0","0","0","0","0","10","9","9","7","4"
"Monmouth","Keyport","13","6","19","15","23","16","17","126","100","93","98","87"
"Monmouth","Hazlet","13","6","4","5","11","13","23","249","249","206","223","208"
"Monmouth","Freehold","11","4","28","36","22","25","41","139","140","118","129","451"
"Monmouth","Fair Haven","13","4","3","0","1","0","1","22","23","40","25","23"
"Cumberland","Bridgeton","3","2","258","279","225","272","203","978","1,042","952","994","720"
"Cape May","Woodbine","1","2","-","-","-","-","-","-","-","-","-","-"
"Monmouth","Bradley Beach","30","4","3","3","6","3","1","138","114","79","75","55"
"Cumberland","Fairfield","1","2","-","-","-","-","-","-","-","-","-","-"
"Monmouth","Avon By The Sea","30","4","2","0","0","0","1","43","29","30","34","31"
"Cumberland","Deerfield","3","2","-","-","-","-","-","-","-","-","-","-"
"Monmouth","Allentown","12","4","3","0","1","0","0","11","7","9","7","5"
"Monmouth","Aberdeen","13","6","14","17","18","15","11","227","185","147","155","163"
"Cumberland","Lawrence","1","2","-","-","-","-","-","-","-","-","-","-"
"Middlesex","South River","18","12","24","23","14","18","19","155","157","138","124","122"
"Cumberland","Greenwich","1","2","-","-","-","-","-","-","-","-","-","-"
"Sussex","Vernon","24","5","3","9","6","8","1","318","341","206","191","100"
"Middlesex","South Brunswick","16","12","10","30","18","20","23","387","417","382","406","276"
"Sussex","Sussex","24","5","-","-","-","-","-","-","-","-","-","-"
"Burlington","Maple Shade","6","1","42","30","43","31","38","373","390","313","456","305"
"Union","Berkeley Heights","21","7","1","0","1","3","4","63","59","89","73","60"
"Sussex","Walpack","24","5","-","-","-","-","-","-","-","-","-","-"
"Burlington","Fieldsboro","7","3","-","0","0","0","1","-","3","8","0","11"
"Sussex","Ogdensburg","24","11","0","2","0","0","1","6","7","11","10","3"
"Burlington","Edgewater Park","7","3","25","13","21","13","15","137","131","165","138","126"
"Sussex","Stanhope","24","11","4","1","4","3","2","41","42","33","20","18"
"Burlington","Lumberton","8","3","16","12","17","23","10","291","270","217","228","212"
"Sussex","Sandyston","24","5","-","-","-","-","-","-","-","-","-","-"
"Burlington","Florence","7","3","11","11","19","19","13","52","72","83","82","89"
"Burlington","Burlington Twp","7","3","23","39","25","34","35","400","409","343","308","274"
"Burlington","Cinnaminson","7","3","31","14","25","0","14","408","332","305","336","286"
"Burlington","Delanco","7","3","5","8","5","4","5","82","70","97","92","47"
"Burlington","Eastampton","8","3","5","4","6","3","6","96","65","65","77","59"
"Union","Cranford","21","7","5","4","7","3","7","172","167","174","175","145"
"Union","Elizabeth","20","8","1,142","1,174","1,054","1,034","897","3,846","3,793","4,134","4,595","4,002"
"Union","Garwood","21","7","5","5","1","0","1","74","84","65","45","32"
"Burlington","Bordentown Twp","7","3","13","9","12","12","14","153","95","107","119","99"
"Cumberland","Maurice River","1","2","-","-","-","-","-","-","-","-","-","-"
"Cumberland","Shiloh","1","2","-","-","-","-","-","-","-","-","-","-"
"Cumberland","Stow Creek","1","2","-","-","-","-","-","-","-","-","-","-"
"Cumberland","Vineland","1","2","267","316","297","298","258","2,243","2,325","2,412","2,414","2,021"
"Middlesex","New Brunswick","17","6","418","413","392","360","309","1,582","1,279","1,252","1,341","1,210"
"Middlesex","Plainsboro","14","12","6","6","9","8","10","122","134","140","126","118"
"Morris","Parsippany-Troy Hills","26","11","37","34","34","36","29","448","393","363","413","362"
"Morris","Randolph","25","11","7","5","5","4","2","181","120","127","117","128"
"Cape May","Dennis","1","2","-","-","-","-","-","-","-","-","-","-"
"Cape May","Middle Township","1","2","45","50","49","36","51","628","556","483","469","394"
"Cape May","Avalon","1","2","1","3","3","1","2","193","158","191","190","138"
"Cape May","Cape May Point","1","2","0","0","0","0","0","7","5","0","7","2"
"Camden","Woodlynne","5","1","10","8","9","8","11","61","46","51","51","43"
"Cape May","Wildwood","1","2","85","61","67","65","40","611","485","403","450","314"
"Cape May","West Wildwood","1","2","4","0","2","2","0","22","25","18","5","6"
"Cape May","Upper Township","1","2","-","-","-","-","-","-","-","-","-","-"
"Cape May","Sea Isle City","1","2","0","3","3","1","3","187","192","244","175","103"
"Cape May","North Wildwood","1","2","7","10","7","13","13","257","186","188","169","167"
"Ocean","South Toms River","9","3","15","9","12","6","7","110","89","64","67","43"
"Ocean","Seaside Park","9","3","1","2","0","4","0","48","43","31","26","26"
"Morris","Rockaway Twp","26","11","11","17","12","11","6","426","428","381","326","294"
"Morris","Rockaway","25","11","2","0","4","1","0","53","66","86","79","54"
"Passaic","Clifton","34","9","186","141","202","184","97","1,427","1,081","1,308","1,386","1,354"
"Ocean","Tuckerton","9","2","4","2","3","3","1","58","23","44","49","36"
"Ocean","Toms River","10","3","79","48","67","63","55","2,466","1,969","1,836","1,545","1,317"
"Ocean","Stafford","9","2, 3","17","9","21","25","15","340","213","196","201","183"
"Morris","Kinnelon","26","11","5","1","5","5","1","56","26","45","35","25"
"Camden","Laurel Springs","4","1","2","1","1","2","2","35","42","43","43","22"
"Camden","Lindenwold","4","1","116","120","111","109","111","553","510","491","504","455"
"Camden","Merchantville","6","1","7","13","1","9","4","101","86","38","69","64"
"Camden","Mount Ephraim","5","1","12","5","9","9","6","132","111","166","195","200"
"Camden","Waterford","8","2","9","5","3","3","7","84","52","76","79","64"
"Camden","Voorhees","6","1","35","36","53","61","42","559","373","444","410","375"
"Morris","Netcong","25","7","3","3","7","5","3","38","26","34","55","14"
"Camden","Pine Valley","8","1","0","-","-","-","0","0","-","-","-","0"
"Camden","Pennsauken","6","1","82","108","103","99","101","977","1,063","928","927","909"
"Camden","Stratford","6","1","11","13","15","6","6","107","108","142","90","77"
"Camden","Runnemede","5","1","21","11","10","7","7","310","262","358","265","208"
"Morris","Madison","27","11","4","4","3","4","3","131","67","96","66","76"
"Morris","Lincoln Park","26","11","6","4","4","4","0","70","71","75","72","60"
"Morris","Mine Hill","25","7","1","4","1","3","0","30","31","30","24","16"
"Morris","Mendham","25","11","2","3","2","1","0","44","13","17","17","24"
"Morris","Morris Twp","25","11","11","6","8","3","6","152","122","131","102","120"
"Morris","Montville","26","11","10","8","10","3","4","145","159","253","146","173"
"Morris","Mount Olive","24","7","13","9","10","9","6","218","211","155","166","77"
"Morris","Morristown","25","11","43","49","62","40","30","338","236","314","288","202"
"Salem","Oldmans","3","2","-","-","-","-","-","-","-","-","-","-"
"Salem","Pennsville","3","2","13","6","5","14","6","280","286","207","208","236"
"Salem","Elsinboro","3","2","0","0","2","1","0","8","10","13","12","9"
"Salem","Lower Alloways Creek","3","2","2","4","2","1","1","17","4","7","10","7"
"Camden","Berlin Twp","6","1","5","6","6","10","4","214","235","253","137","163"
"Camden","Camden","5","1","1,550","1,520","1,574","1,462","1,198","2,845","2,793","2,644","2,526","2,219"
"Camden","Bellmawr","5","1","9","4","14","10","8","209","149","274","231","158"
"Camden","Gloucester City","5","1","28","20","16","21","34","309","271","278","280","269"
"Camden","Collingswood","6","1","23","20","26","24","30","315","344","391","352","279"
"Camden","Clementon","4","1","11","20","14","17","11","182","182","169","170","139"
"Camden","Cherry Hill","6","1","81","94","92","96","92","1,854","1,737","1,949","2,075","2,026"
"Camden","Hi-Nella","6","1","4","6","5","4","1","9","15","14","16","10"
"Camden","Haddon Twp","6","1","17","24","18","15","19","335","328","391","321","247"
"Camden","Haddon Heights","5","1","8","3","5","3","3","93","88","72","67","41"
"Somerset","Bernardsville","25","7","1","0","2","1","1","56","43","61","46","39"
"Somerset","Bernards Twp","21","7","6","3","0","1","2","141","88","94","117","87"
"Salem","Woodstown","3","2","4","6","3","2","2","79","48","48","43","46"
"Salem","Salem","3","2","67","78","53","54","43","277","306","178","206","221"
"Salem","Quinton","3","2","-","-","-","-","-","-","-","-","-","-"
"Salem","Pilesgrove","3","2","-","-","41","-","-","-","-","177","-","-"
"Passaic","Hawthorne","38","9","3","7","10","2","2","184","136","229","227","177"
"Passaic","Little Falls","40","11","10","12","10","19","16","140","164","151","115","113"
"Passaic","Passaic","36","9","464","327","398","390","406","1,137","1,100","1,106","1,163","1,298"
"Somerset","Bedminster","23","7","0","1","0","1","1","36","49","33","24","34"
"Somerset","South Bound Brook","23","12","1","0","6","3","4","35","42","38","29","28"
"Warren","Washington Twp","23","5","2","3","2","5","2","45","34","57","58","50"
"Sussex","Stillwater","24","5","-","-","-","-","-","-","-","-","-","-"
"Burlington","Washington Twp","9","2","-","-","-","-","-","-","-","-","-","-"
"Burlington","Tabernacle","9","3","-","-","-","-","-","-","-","-","-","-"
"Burlington","Wrightstown","12","3","-","-","-","-","-","-","-","-","-","-"
"Burlington","Willingboro","7","3","123","-","101","92","112","684","-","633","552","476"
"Camden","Barrington","5","1","4","4","5","3","5","70","71","102","136","113"
"Camden","Audubon","5","1","8","7","5","8","4","346","312","348","291","11"
"Passaic","Woodland Park","40","11","5","13","7","17","10","170","204","184","152","149"
"Passaic","West Milford","26","5","21","19","23","25","10","257","221","216","203","158"
"Salem","Carneys Point","3","2","11","11","27","21","16","171","159","175","153","86"
"Passaic","Prospect Park","35","9","9","5","14","3","5","109","108","101","113","95"
"Passaic","Paterson","35","9","1,192","1,171","1,126","1,028","1,076","3,856","3,667","3,154","3,399","3,564"
"Passaic","Wanaque","39","11","10","8","7","6","11","74","73","83","80","71"
"Passaic","Totowa","40","11","16","16","12","10","12","330","210","278","288","219"
""
"County Summary"
"","Violent Crimes","Violent Crimes","Violent Crimes","Violent Crimes","Violent Crimes","Non-Violent Crimes","Non-Violent Crimes","Non-Violent Crimes","Non-Violent Crimes","Non-Violent Crimes"
"County  ","2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  "
"Atlantic","1,019","1,002","939","802","659","7,395","6,394","6,165","6,186","5,145"
"Bergen","745","697","777","693","725","9,569","8,660","9,016","9,172","8,295"
"Burlington","702","531","659","614","644","6,338","5,225","6,265","5,998","5,333"
"Camden","2,382","2,319","2,332","2,221","1,953","12,943","12,188","12,275","12,022","10,960"
"Cape May","204","184","188","172","161","3,262","2,878","2,606","2,460","1,779"
"Cumberland","724","768","745","730","588","5,155","5,153","5,078","4,962","3,958"
"Essex","1,948","4,070","4,355","4,139","3,344","9,516","13,800","14,438","15,572","13,196"
"Gloucester","320","311","318","365","344","6,112","5,721","5,183","5,511","4,610"
"Hudson","2,399","2,026","2,186","2,184","2,096","10,580","9,643","10,379","10,838","10,438"
"Hunterdon","40","38","35","32","30","686","594","580","545","478"
"Mercer","1,270","1,372","1,468","1,369","1,239","6,275","6,104","6,159","6,559","6,320"
"Middlesex","1,264","1,261","1,144","1,122","1,084","11,401","10,638","10,003","10,462","9,392"
"Monmouth","874","916","959","912","791","10,349","8,953","8,389","8,379","7,230"
"Morris","297","260","318","215","161","4,607","3,922","4,006","3,789","3,220"
"Ocean","580","555","567","478","444","9,092","7,489","7,071","6,745","5,904"
"Passaic","1,996","1,787","1,876","1,750","1,749","9,127","8,536","8,434","8,486","8,510"
"Salem","138","132","133","130","101","1,023","1,011","813","879","789"
"Somerset","195","198","224","206","200","3,784","3,315","3,541","3,381","3,028"
"Sussex","44","47","52","53","44","944","929","778","641","443"
"Union","2,052","1,944","1,817","1,731","1,438","10,078","9,440","9,829","10,614","9,483"
"Warren","65","64","54","52","66","1,279","1,217","1,090","1,196","969"
""
"New Jersey State Summary"
"Violent Crimes","Violent Crimes","Violent Crimes","Violent Crimes","Violent Crimes","Non-Violent Crimes","Non-Violent Crimes","Non-Violent Crimes","Non-Violent Crimes","Non-Violent Crimes"
"2014  ","2015  ","2016  ","2017  ","2018  ","2014  ","2015  ","2016  ","2017  ","2018  "
"19,258","20,482","21,146","19,970","17,861","139,515","131,810","132,098","134,397","119,480"
""
"DISCLAIMER: The information in the website may be used, downloaded, reproduced or reprinted provided"
"that appropiate acknowledgment appears in all copies or works created with the downloaded information."
"You may not use or misrepresent our name, logos, trademarks, other intellectual property or materials for your own use or reprint."
""
"New Jersey Data Book(SM)  Rutgers Center for Goverment Services, New Brunswick, NJ"
"New Jersey Data Book is a Service Mark of the Rutgers Center for Goverment Services"